created,username,source,text,retwc,hashtag,followers,friends,polarity,geolocation,geoenable
2021-06-28 11:12:02,Mahesh Parekh,Twitter for Android,RT @PiyushGoyal: PM @NarendraModi ji is focused on reviving the tourism industry post COVID-19. Financial support will be provided to over…,2,None,263,114,0.0,Chennai / India,True
2021-06-28 11:12:02,vishal kumar,Twitter for Android,RT @blsanthosh: Credit guarantee scheme announced by FM @nsitharaman to facilitate loans up to ₹1.25L to 25 lakh persons thru’ MFI . Intere…,92,None,522,1223,0.0,,True
2021-06-28 11:12:02,touchtree,touchtree,Cyprus: Update to information on demonstrating your COVID-19 vaccination status in Cyprus using your NHS app or you… https://t.co/JXNiz5rKQ0,0,None,82,180,0.0,Cambridgeshire UK,False
2021-06-28 11:12:01,PD Robinett 🇺🇸,Twitter for Android,"RT @ColleenHenley: I’ve been very ill since I had Covid in January. This has greatly affected my life, as well as my family’s. 

People are…",142,None,5151,5043,0.07500000000000001,"Texas, USA",False
2021-06-28 11:12:01,Ritesh Singh,Twitter for Android,"RT @SujitSingh_7: #@PiyushGoyal @RailMinIndia sir, since last 6 month, affected people from Gahmar area have had meeting with @DrmDnr for t…",60,None,22,36,0.0,"Gahmar, India",False
2021-06-28 11:12:01,P-MOTION🛀,Twitter for Android,RT @EFFSouthAfrica: EFF Statement On Cyril Ramaphosa Address On Developments In The Country’s Response To The Covid-19 Pandemic https://t.c…,1037,None,43,1100,0.0,South Africa,False
2021-06-28 11:12:01,Rabina Khan,Twitter for iPhone,"RT @mcashmanCBE: @damhealth  
Not very reassuring! 
Brits who never took Covid test sent negative results by government provider https://t.…",5,None,4937,1545,-0.2125,London,False
2021-06-28 11:12:01,BC,Twitter for iPad,RT @capeandcowell: Can’t believe Gov. DeSantis would sabotage an entire building and force it to collapse on itself just so people would fo…,148,None,465,874,0.0,@ the beach,True
2021-06-28 11:12:01,Dr. Deniz Ertekin,Twitter for iPhone,"Does anyone know why Aus is not using rapid covid tests? i understand that they are not super accurate but still.
T… https://t.co/KwhT2MMvkh",0,None,798,1327,0.11666666666666671,"Brisbane, Queensland",True
2021-06-28 11:12:01,El NotiCoto,The Tweeted Times,"https://t.co/7w8fLZPWiP New Zealand considers mandatory masks, scanning amid COVID Delta variant concerns | Reuters… https://t.co/M0WAMFuhgF",0,None,499,851,0.13636363636363635,Hollywood CA,False
2021-06-28 11:12:01,tokaido,Buffer,Indo-Japanese partnership during Covid-19 more relevant for global stability: PM Modi - The Indian Express 🙋 … https://t.co/la3cW3ip2u,0,None,3328,2886,0.3,World,False
2021-06-28 11:12:01,Peng Lam,Twitter for iPhone,"CDM government servants of Ministry of Agriculture, Livestock, and Irrigation,Department of Cooperatives are being… https://t.co/sDdEkFcFUI",0,None,261,2776,0.0,Malaysia,False
2021-06-28 11:12:01,Sri Satya Sai University of Tech. & Medical Sci.,Twitter Web App,"Due to the ongoing Covid-19 pandemic, an enormous expansion in pharmacies will be unavoidable over the next few dec… https://t.co/kRKYUbCiUK",0,None,8,79,-0.08125,Sehore,False
2021-06-28 11:12:00,Minapo,Twitter for iPhone,RT @GravesWilliams6: A few more days on this tomato season. Nobody got COVID again. Tomatoes must be like bug repellant to COVID!!,17,None,1125,1382,0.290625,"Georgia, USA",True
2021-06-28 11:12:00,Capital Yorks News,Twitter for iPhone,Sir Brendan Foster is marking the 40th birthday of the Great North Run with confirmation the event will go ahead th… https://t.co/yjvEQZt2L9,0,None,4346,3003,0.8,"Leeds, England",True
